SAE Grade,Conditions,UTS (MPa),UTS (Ksi),YS (MPa),YS (ksi),Elongation (%),Reduction (%),Hardness (HB),C (Min),C (Max),Mn (Min),Mn (Max),P (Min),P (Max),S (Min),S(Max),Si (Min),Si (Max),Ni (Min),Ni (Max),Cr (Min),Cr (Max),Mo (Min),Mo (Max),Ti (Min),Ti (Max)
1006,Hot rolled,295,43,165,24,30,55,86,,0.08,0.25,0.4,,0.04,,0.05,,,,,,,,,,
1006,Cold drawn,330,48,285,41,20,45,95,,0.08,0.25,0.4,,0.04,,0.05,,,,,,,,,,
1008,Hot rolled,305,44,170,24.5,30,55,86,,0.1,0.3,0.5, ,0.04,,0.05,,,,,,,,,,
1008,Cold drawn,340,49,285,42,20,45,95,,0.1,0.3,0.5,,0.04,,0.05,,,,,,,,,,
1010,Hot rolled,325,47,180,26,28,50,95,0.08,0.13,0.3,0.5,,0.04,,0.05,,,,,,,,,,
1010,Cold drawn,365,53,305,44,20,40,105,0.08,0.13,0.3,0.5,,0.04,,0.05,,,,,,,,,,
1012,Hot rolled,330,48,185,27,28,50,95,0.1,0.15,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1012,Cold drawn,370,54,310,45,19,40,105,0.1,0.15,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1015,Hot rolled,345,50,190,28,28,50,101,0.13,0.18,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1015,Cold drawn,385,56,325,47,18,40,111,0.13,0.18,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1016,Hot rolled,380,55,205,30,25,50,110,0.13,0.18,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1016,Cold drawn,420,61,350,51,18,40,121,0.13,0.18,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1017,Hot rolled,365,53,200,29,26,50,105,0.15,0.2,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1017,Cold drawn,405,59,340,49,18,40,116,0.15,0.2,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1018,Hot rolled,400,58,220,32,25,50,116,0.15,0.2,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1018,Cold drawn,440,64,370,54,15,40,126,0.15,0.2,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1019,Hot rolled,405,59,225,33,25,50,116,0.15,0.2,0.7,1,,0.04,,0.05,,,,,,,,,,
1019,Cold drawn,455,66,380,55,15,40,131,0.15,0.2,0.7,1,,0.04,,0.05,,,,,,,,,,
1020,Hot rolled,380,55,205,30,25,50,111,0.18,0.23,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1020,Cold drawn,420,61,350,51,15,40,121,0.18,0.23,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1021,Hot rolled,420,61,230,33,24,48,116,0.18,0.23,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1021,Cold drawn,470,68,395,57,15,40,131,0.18,0.23,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1022,Hot rolled,425,62,235,34,23,47,121,0.18,0.23,0.7,1,,0.04,,0.05,,,,,,,,,,
1022,Cold drawn,475,69,400,58,15,40,137,0.18,0.23,0.7,1,,0.04,,0.05,,,,,,,,,,
1023,Hot rolled,385,56,215,31,25,50,111,0.2,0.25,0.3,0.6,,0.04,,0.05,,,,,,,,,,
